Virtual User Script started at: 27.09.2020 8:55:19	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 2020.0.0 for Windows 10; build 793 (ноя 27 2019 19:51:20)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko  	[MsgId: MMSG-26988]
Runtime Settings file: "C:\Users\alex\AppData\Local\Temp\lr5tmpdirW06.862\lrcfgDr4.863\cfggNB.872"  	[MsgId: MMSG-27141]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(2): Notify: Transaction "UC1_Buy_and_view" started.	[MsgId: MMSG-16999]
Action.c(3): Notify: Transaction "goToSite" started.	[MsgId: MMSG-16999]
Action.c(25): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(25): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(31): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(31): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(34): web_url("WebTours") started  	[MsgId: MMSG-26355]
Action.c(34): Error -27792: Failed to connect to server "localhost:1080": [10061] Connection refused  	[MsgId: MERR-27792]
Action.c(34): Error -26377: No match found for the requested parameter "userSession". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 0 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
Action.c(34): Notify: Saving Parameter "userSession = ".	[MsgId: MMSG-13798]
Action.c(34): Error -26366: "Text=Welcome to the Web Tours site" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(34): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
Action.c(34): web_url("WebTours") highest severity level was "ERROR", 0 body bytes, 0 header bytes  	[MsgId: MMSG-26388]
Action.c(34): Notify: Transaction "goToSite" ended with a "Fail" status (Duration: 2,0095).	[MsgId: MMSG-16873]
Action.c(34): Notify: Transaction "goToSite" has 4 error message(s).	[MsgId: MMSG-16818]
Action.c(34): Notify: The 1st error message associated with transaction "goToSite" is "Error -27792: Failed to connect to server "localhost:1080": [10061] Connection refused"	[MsgId: MMSG-16819]
Action.c(34): Notify: The 2nd error message associated with transaction "goToSite" is "Error -26377: No match found for the requested parameter "userSession". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 0 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size."	[MsgId: MMSG-16819]
Action.c(34): Notify: The 3rd error message associated with transaction "goToSite" is "Error -26366: "Text=Welcome to the Web Tours site" not found for web_reg_find"	[MsgId: MMSG-16819]
Action.c(34): Notify: The 4th error message associated with transaction "goToSite" is "Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively."	[MsgId: MMSG-16819]
Action.c(34): Notify: Transaction "UC1_Buy_and_view" ended with a "Fail" status (Duration: 2,0096).	[MsgId: MMSG-16873]
Action.c(34): Notify: Transaction "UC1_Buy_and_view" has 4 error message(s).	[MsgId: MMSG-16818]
Action.c(34): Notify: The 1st error message associated with transaction "UC1_Buy_and_view" is "Error -27792: Failed to connect to server "localhost:1080": [10061] Connection refused"	[MsgId: MMSG-16819]
Action.c(34): Notify: The 2nd error message associated with transaction "UC1_Buy_and_view" is "Error -26377: No match found for the requested parameter "userSession". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 0 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size."	[MsgId: MMSG-16819]
Action.c(34): Notify: The 3rd error message associated with transaction "UC1_Buy_and_view" is "Error -26366: "Text=Welcome to the Web Tours site" not found for web_reg_find"	[MsgId: MMSG-16819]
Action.c(34): Notify: The 4th error message associated with transaction "UC1_Buy_and_view" is "Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively."	[MsgId: MMSG-16819]
Ending action Action.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Waiting 57,9870 seconds for iteration pacing.	[MsgId: MMSG-15996]
Action was aborted.	[MsgId: MMSG-10694]
Ending Vuser...	[MsgId: MMSG-15966]
Starting action vuser_end.	[MsgId: MMSG-15919]
Ending action vuser_end.	[MsgId: MMSG-15918]
Vuser Terminated.	[MsgId: MMSG-15963]
Vuser 0 (thread 26888), ended OK."	[MsgId: MMSG-10695]
